ID,ierc_1a,ierc_1b,ierc_2,ierc_3,ierc_3_3_text,ierc_4,ierc_5,ierc_6,iris_1,iris_2,iris_3,iris_4,iris_5,iris_6,iris_7,iris_8,iris_9,iris_10,iris_11,iris_12,iris_13,iris_14,iris_15,iris_16,iris_17,iris_18,iris_19,iris_20,iris_21,iris_22,iris_23,iris_24,iris_25,iris_26,iris_27,iris_28,ier_eff1,ier_eff2,ier_eff3,ier_eff5,ier_eff6,ppass_1,ppass_2,ppass_3,ppass_4,ppass_5,ppass_6,ppass_7,ppass_8,ppass_9,ppass_10,ppass_11,ppass_12,ppass_13,ppass_14,ppass_15,ppass_16,ppass_17,ppass_18,ppass_19,ppass_20,ppass_21,ppass_22,ppass_23,ppass_24,sdt_1,sdt_2,sdt_3,sdt_4,sdt_5,sdt_6,sdt_7,sdt_8,sdt_9,sdt_10,sdt_11,sdt_12,sdt_13,sdt_14,sdt_15,sdt_16,sdt_17,sdt_18,sdt_19,sdt_20,sdt_21,sdt_22,sdt_23,sdt_24,bnsr_1,bnsr_2,bnsr_3,bnsr_4,bnsr_5,bnsr_6,bnsr_7,bnsr_8,bnsr_9,cerq_1,cerq_2,cerq_3,cerq_4,cerq_5,cerq_6,cerq_7,cerq_8,cerq_9,cerq_10,cerq_11,cerq_12,cerq_13,cerq_14,cerq_15,cerq_16,cerq_17,cerq_18,ders_1,ders_2,ders_3,ders_4,ders_5,ders_6,ders_7,ders_8,ders_9,ders_10,ders_11,ders_12,ders_13,ders_14,ders_15,ders_16,ders_17,ders_18,ders_19,ders_20,ders_21,ders_22,ders_23,ders_24,ders_25,ders_26,ders_27,ders_28,ders_29,ders_30,ders_31,ders_32,ders_33,ders_34,ders_35,ders_36,age#1_1,age#2_1,age#3_1,gender,gender_5_text,s_orientation,s_orientation_6_text,relationship,race,home,home_3_text,home_who,home_who_9_text,dependent,first_gen,income,iris_r,iris_h,iris_cs,iris_pp,ppass_limits,ppass_reason,ppass_aware,ppass_threat,ppass_guilt,ppass_perform
8011,"My anger stemmed from a domino effect of events. During the summer heading into my first quarter of college, my parents forced me to go on a trip to Las Vegas with them and, even though I was grateful for a trip not everyone gets to experience, I wasn't happy throughout the trip, because I had nothing to do. When I got back, my aunt invited me to go to the beach, but the Vegas trip tired me out and I wanted to do something I actually wanted to do. Unfortunately, my parents and aunt ridiculed me for not going, saying I was lazy. Then at night, when I wanted to eat at home, considering we at out everyday as Vegas, my parents again forced me to go with them. When we got back home, I was finally able to do something I enjoyed, video games. However, before I could even play for 30 minutes, my mom started yelling at me to go to bed and threatened to throw away my xbox, something I payed for myself. At that point I was extremely angry of having absolutely no control over my life. I was frustrated at never having a say in anything and never getting options. I was angry at constantly pushing aside my happiness and being ridiculed for just taking time to enjoy the things I liked.","I was angry and sad at the same time. I was made of all the things that happened, but also sad that my parents didn't consider how I was feeling at the time. I didn't want to interact with anyone the next few days and locked myself in my room. I was tired of living a life my parents wanted, not the one I wanted.","My dad finally sat me and my mom down and we all had a discussion about why I was so angry. I told them about why those events made me feel like my life was being controlled, even though I was 18 years old already. My dad said he understood how all the events that happened could've made me feel restricted from simply living my own life. My mom didn't see it that way, but thats the difference between them. My dad sees and treats me like a man or an adult, while my mom still sees me as her little boy and thus treats me like one. My mom told me I was acting out and being disobedient. However, my whole childhood, I've foregone birthday parties with friends, events, basketball games, vacations to do things my parents wanted. I never enjoyed school, but I went to the library to study for my parents. My dad understood this, but also told me that isolating myself wouldn't fix any problems. So he made a deal with me. I would get to dictate my own life more, now that I was older. This meant a giving me a choice on whether I wanted to participate. This also meant not isolating myself any longer and communicating my anger sooner in the future and not letting it build up. My mom on the other hand, was now angry at me and my dad. She went on her phone and told my aunts how rude I was to want some independence in my life as an adult. I still live under her roof so I still abide by her rules, but having to live a life thats only in the realm of want my parents condemned seemed unfair to me.",2,NA,mother,1,2,8,7,7,8,7,7,6,8,7,6,6,8,6,6,7,7,7,6,8,1,3,7,5,2,3,5,6,7,6,5,5,6,5,6,3,2,3,3,4,4,5,5,2,4,2,3,3,3,3,4,3,5,1,3,5,5,4,3,4,4,3,4,5,2,3,2,2,2,4,2,3,3,3,2,5,2,5,4,4,2,3,3,5,6,4,5,2,4,5,4,3,4,2,3,2,5,2,3,5,2,2,1,2,3,2,4,3,3,3,4,3,2,3,4,1,4,2,4,3,4,5,4,2,4,3,5,4,1,3,3,2,2,3,5,2,2,4,2,3,3,5,3,3,2,1,29,104,1,NA,1,NA,1,1,1,NA,12,NA,1,2,8,73,36,50,12,17,18,14,8,12,16
8012,"I was mentally upset and tired, there was a lot of work for me to do with my classes and the finals were not helping me at all.","I was sad, anxious, desperate, and tired.","I don't really get much interaction with my parents through the week, So when they were there to listen to me and help me mentally and physically it was something that made me regain my mental health to keep pushing. My parents were cheering me on, giving me advices about the adult life, and how to organize my days by managing my time more responsibly.",1,NA,Dad,1,1,7,9,1,9,9,6,1,9,7,4,6,4,5,7,6,7,4,2,8,6,8,7,1,8,7,3,7,7,6,6,5,6,6,7,4,7,4,4,2,6,4,4,4,4,4,4,5,4,4,7,4,4,4,1,4,6,6,4,4,3,3,3,4,1,3,3,3,2,5,5,5,3,5,3,5,5,5,2,2,2,5,1,4,5,2,1,1,7,5,1,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,5,5,1,1,1,3,1,5,3,1,1,1,3,3,3,3,3,2,5,2,3,2,3,2,1,1,1,5,1,1,3,3,3,11,26,104,1,NA,1,NA,1,3,2,NA,6,NA,2,1,3,74,18,50,23,20,18,20,19,11,19
8013,I had failed my permit test,I was mad at myself and i felt like a failure,She told me that I should've studied more and then proceeded to tell me there there is always next time,1,NA,no one else,1,2,9,1,7,6,1,1,1,4,4,7,4,1,1,5,1,1,1,1,5,1,1,3,9,1,1,7,1,5,1,3,4,1,2,6,1,5,4,7,5,2,4,3,7,7,2,1,3,7,2,7,3,3,6,3,7,2,2,3,5,3,3,3,5,3,4,3,3,2,4,3,5,3,4,3,4,4,4,4,3,2,5,3,4,6,4,4,7,4,5,6,4,4,2,4,4,4,2,1,4,1,1,3,2,3,2,3,2,1,3,2,3,2,4,2,1,2,4,2,3,3,5,4,1,3,2,5,3,1,4,2,4,1,4,1,4,4,4,2,2,4,2,2,4,4,7,27,104,3,NA,2,NA,1,1,1,NA,124,NA,1,1,6,40,33,14,3,17,9,7,25,13,28
8014,I was upset because I could not go home.,I was sad and felt alone.,My mother attempted tp help me and ensure everything would be fine.,1,NA,My oldest brother,2,2,7,7,6,5,6,8,8,7,9,5,9,8,7,7,8,8,8,5,6,5,7,8,5,9,7,4,7,9,7,7,7,6,6,5,5,4,4,4,3,6,6,6,3,5,2,6,6,2,5,2,2,6,2,2,2,5,4,4,4,5,4,4,3,3,1,4,1,4,2,3,3,4,3,4,4,3,2,4,2,3,3,6,2,7,1,6,1,6,5,2,3,3,4,4,3,4,2,4,4,2,3,3,3,3,3,4,3,3,2,3,4,3,4,2,2,4,3,3,4,3,5,4,3,3,3,5,5,2,4,2,4,2,4,5,4,3,4,4,3,3,4,2,4,5,5,31,103,2,NA,1,NA,2,3,2,NA,6,NA,1,1,2,82,38,51,24,21,22,21,11,9,13
8015,I felt like one of my parents wasn't treating me fairly over a topic that wasn't that serious.,I was angry and anxious.,I turned to my mother for help just for validation. She knew I was in the right and helped console me while still instilling respect for the other party.,1,NA,my sister,1,2,7,6,3,7,8,9,3,9,9,2,7,1,7,7,4,4,8,3,2,7,7,8,6,4,6,9,3,8,5,3,5,3,3,7,5,7,5,7,7,4,5,2,7,6,5,4,6,5,3,6,5,3,5,5,4,3,3,2,4,4,2,1,5,2,4,5,4,2,4,2,4,4,3,5,3,2,4,4,2,3,4,7,6,6,2,6,3,7,6,5,4,2,5,2,5,5,2,4,5,2,1,4,1,3,4,2,5,1,2,5,5,3,2,5,3,5,3,3,4,2,4,4,5,5,4,5,5,3,2,2,5,2,2,4,4,4,4,5,5,4,5,3,5,5,6,30,104,2,NA,1,NA,2,6,3,Home and Dorm,12346,NA,1,1,5,83,33,33,15,23,13,14,24,22,23
8016,The only time I can recall receiving emotional support from my mom that actually helped me was after I opened my college acceptance letters. I applied to about 5 different colleges and was rejected from 3 of them on the same night.,That night was really hard for me. I'm not the best student but academic validation means a lot to me so receiving all these rejection letters all at once hurt a lot. I felt so incredibly heartbroken and unwanted. I took these rejection letters very personally.,"My mom came into my room and saw me bawling my eyes out to my older sister and then hugged me. She reassured me that whatever school I got into didn't matter to her and didn't define me as a person. After that, she prayed for me while holding me in her arms.",1,NA,My older sister,1,1,5,8,1,6,6,9,1,3,3,2,8,3,5,6,3,8,6,1,6,2,6,2,1,9,5,1,2,6,7,5,5,4,4,6,2,6,1,2,7,1,7,6,2,1,3,1,1,4,1,4,7,1,5,5,2,1,1,3,3,3,4,3,5,4,2,3,3,3,4,4,2,4,4,2,5,4,2,3,3,2,5,1,1,2,5,1,7,1,1,6,4,5,4,2,3,4,2,4,5,4,2,1,2,4,2,2,4,4,3,5,2,2,2,5,4,5,2,4,3,4,5,5,4,4,4,5,5,1,3,2,5,2,2,5,5,2,3,4,4,5,5,4,5,5,8,21,104,1,NA,1,NA,1,1,1,NA,124,NA,1,1,7,61,9,31,23,15,10,4,17,22,9
8017,It was when I went back to my hometown. All my family was meeting at my Tia's house and someone needed to pick up my Grandma from the airport and my mom didn't want me to go because of covid and i didn't listen so i started to get really upset.,I was sad and angry  because its been years since i've seen my grandma and i wanted to surprise her,My mom had to calm me so we wouldn't get into an argument. She let me go but later i didn't end up going because something came up.,1,NA,NA,1,1,9,9,2,9,9,9,1,9,9,1,8,8,9,8,8,8,8,1,8,1,8,8,1,9,9,2,7,9,6,6,7,7,7,7,6,1,7,1,1,7,7,1,2,5,2,7,7,2,7,2,1,5,2,1,4,7,7,4,3,4,2,3,3,2,2,4,2,2,3,2,3,4,3,4,4,2,3,4,2,2,4,6,4,7,1,6,1,7,7,2,2,2,3,2,4,4,2,2,4,2,4,4,4,2,2,2,4,2,4,3,4,4,4,3,3,3,4,2,2,1,3,1,2,3,3,3,2,2,2,2,2,4,2,4,1,2,1,2,2,1,4,2,2,2,5,9,104,2,NA,1,NA,1,NA,2,NA,6,NA,1,1,3,95,9,58,25,28,19,28,7,5,12
8018,I was upset because my parents got divorced. They consoled me by explaining that it had nothing to do with me or my siblings and that their love for us will never change.,i was angry and sad.,they reassured me that they will always be there for me no matter the relationship with one another.,3,both,n/a,1,1,9,9,1,9,9,9,1,9,9,1,9,9,9,9,9,9,9,1,9,9,9,9,1,9,9,9,5,9,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,1,7,1,7,7,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,21,101,1,NA,1,NA,2,3,2,NA,6,NA,2,1,5,99,23,59,27,19,19,16,16,16,16
8019,I was stressed about school and work.,I was feeling anxious and stressed.,They reassured me and said it was okay and gave me a hug and called me cute comforting names.,1,NA,No one,1,1,7,7,3,7,7,8,1,9,6,1,9,8,9,9,7,9,8,1,6,1,9,9,5,9,9,1,7,9,7,7,6,6,7,4,6,6,6,3,1,7,1,4,4,6,1,3,6,5,6,2,2,6,4,2,6,6,5,2,3,5,1,4,3,4,2,4,1,5,4,3,3,5,1,5,5,5,3,4,1,4,4,7,7,7,1,6,1,7,7,1,2,4,2,5,4,3,1,3,4,4,2,5,3,2,5,5,2,3,3,2,4,3,4,5,2,3,2,2,4,5,2,3,3,1,4,3,4,3,4,4,4,3,2,4,2,2,2,2,3,2,4,2,3,4,8,1,103,2,NA,1,NA,2,3,2,NA,6,NA,1,1,4,93,13,48,27,17,22,21,19,6,17
8020,"The most recent time I had emotional support from my mother was when I told her I was putting my two weeks in at work. I was upset because I was stressed out with school, working really early, not getting enough sleep, and also moving.","irritated, angry, anxious",She told me to relax and try to take a deep breath. That everything would plan out and that leaving my job allows a new path for a better job as I continue my education.,1,NA,no one else,1,2,5,7,8,6,8,8,2,6,9,5,7,7,8,8,7,7,5,3,7,5,8,8,4,6,6,2,5,6,5,6,4,5,4,5,5,1,4,6,2,7,6,6,2,7,2,5,3,1,5,5,1,6,2,3,6,4,2,3,3,2,2,3,3,5,3,2,1,5,2,4,5,3,4,4,1,1,5,4,3,3,3,5,5,7,2,6,3,6,6,2,2,5,3,2,4,5,4,4,4,2,3,2,4,1,3,4,2,2,2,3,5,4,5,2,3,3,5,4,5,5,5,5,4,5,4,5,5,4,5,5,5,2,5,5,5,4,5,5,3,4,5,2,3,5,3,10,99,2,NA,1,NA,2,3,1,NA,145,NA,2,1,8,73,29,50,21,18,21,19,6,8,24
8021,The sense of helplessness I felt about going to school alone in a foreign country.,Anxious,"They will keep in touch with me every day, ask me how I am and share interesting things around them.",1,NA,My sister,3,1,6,6,4,7,7,5,7,7,6,4,5,6,7,8,4,7,5,3,7,5,7,6,4,3,5,4,5,6,5,5,4,5,5,6,4,3,4,4,2,5,5,5,2,3,2,5,4,2,5,3,2,5,2,2,3,4,4,4,3,3,2,4,2,4,2,4,2,3,2,3,3,4,2,4,3,3,2,3,2,3,2,5,4,5,2,5,3,4,5,2,4,3,4,4,4,4,3,4,4,4,3,3,2,3,3,4,2,2,4,4,2,2,2,4,4,4,2,4,3,3,3,2,3,3,4,4,2,2,2,3,3,2,2,3,2,2,2,2,2,2,3,3,3,2,1,5,103,2,NA,1,NA,1,1,2,NA,6,NA,1,1,7,67,31,41,17,19,18,19,9,8,13
8022,"I was behind my plan for the quarter, I'm supposed be taking a dmv permit test and get a driver's license, however this quarter I had to take 5 midterm that spread out to 5 weeks, and I was so afraid that I might screw up that I spent every week reviewing midterm instead of preparing for other plans. I was frustrated that I need so much time just to get a good score but unable to do anything else.","I felt sad, disappoint to myself and anxious.","My mom first comfort me saying you still have the spring break to get your driver's license, there's no need to rush. Then she told me it is certainly not right to spend every minute into reviewing exams, and I shouldn't focus on only one task throughout the whole week. Then she shared her experience back in high shcool and told me what should I do to multitasking.",1,NA,No one else.,3,1,4,7,1,9,3,2,6,6,7,1,8,6,4,6,3,4,7,1,6,1,4,3,7,2,6,7,4,4,5,5,6,6,6,6,4,6,3,6,6,3,5,3,5,6,3,2,5,4,5,6,1,2,5,7,5,2,5,3,4,2,2,4,2,4,2,3,2,4,4,2,2,3,1,4,4,2,1,5,4,4,2,2,3,4,5,3,2,5,2,6,4,3,5,5,5,4,2,4,4,4,2,4,2,5,5,2,2,3,4,4,1,1,2,3,4,4,2,4,1,1,2,1,3,3,4,3,1,4,3,2,4,4,1,3,1,3,1,3,4,1,2,3,4,3,1,19,104,1,NA,1,NA,1,1,1,NA,12,NA,1,2,8,59,24,36,10,19,11,15,20,17,23
8023,I didn't make the volleyball team even though I had been training for months,devastated and heartbroken,"My parents told me that it was unfortunate since so many people tried out, and that I gave it my absolute best and to never be upset when you give it your all.",2,NA,no one,2,1,9,9,1,9,9,9,1,9,9,1,9,9,9,9,9,5,7,1,8,1,1,9,1,1,9,1,7,9,6,6,6,5,5,7,7,5,5,4,3,4,6,5,5,7,1,2,4,5,2,5,2,5,3,1,7,5,3,5,2,5,1,5,1,5,1,5,1,5,2,5,1,5,1,5,1,5,1,5,1,5,1,4,7,7,1,5,3,7,7,5,3,3,5,2,4,3,3,5,2,2,2,5,4,2,5,4,2,2,5,4,1,1,1,5,5,5,1,5,2,1,5,1,1,1,4,5,1,2,2,5,1,5,2,4,1,1,2,1,1,1,3,3,2,2,7,19,102,1,NA,1,NA,1,6,1,NA,1236,NA,1,2,7,97,7,60,7,22,22,11,18,7,23
