StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,ierc_1a,ierc_1b,ierc_2,ierc_3,ierc_3_3_TEXT,ierc_4,ierc_5,ierc_6,IRIS_1,IRIS_2,IRIS_3,IRIS_4,IRIS_5,IRIS_6,IRIS_7,IRIS_8,IRIS_9,IRIS_10,IRIS_11,IRIS_12,IRIS_13,IRIS_14,IRIS_15,IRIS_16,IRIS_17,IRIS_18,IRIS_19,IRIS_20,IRIS_21,IRIS_22,IRIS_23,IRIS_24,IRIS_25,IRIS_26,IRIS_27,IRIS_28,ier_eff1,ier_eff2,ier_eff3,ier_eff5,ier_eff6,PPASS_1,PPASS_2,PPASS_3,PPASS_4,PPASS_5,PPASS_6,PPASS_7,PPASS_8,PPASS_9,PPASS_10,PPASS_11,PPASS_12,PPASS_13,PPASS_14,PPASS_15,PPASS_16,PPASS_17,PPASS_18,PPASS_19,PPASS_20,PPASS_21,PPASS_22,PPASS_23,PPASS_24,SDT_1,SDT_2,SDT_3,SDT_4,SDT_5,SDT_6,SDT_7,SDT_8,SDT_9,SDT_10,SDT_11,SDT_12,SDT_13,SDT_14,SDT_15,SDT_16,SDT_17,SDT_18,SDT_19,SDT_20,SDT_21,SDT_22,SDT_23,SDT_24,BNSR_1,BNSR_2,BNSR_3,BNSR_4,BNSR_5,BNSR_6,BNSR_7,BNSR_8,BNSR_9,CERQ_1,CERQ_2,CERQ_3,CERQ_4,CERQ_5,CERQ_6,CERQ_7,CERQ_8,CERQ_9,CERQ_10,CERQ_11,CERQ_12,CERQ_13,CERQ_14,CERQ_15,CERQ_16,CERQ_17,CERQ_18,DERS_1,DERS_2,DERS_3,DERS_4,DERS_5,DERS_6,DERS_7,DERS_8,DERS_9,DERS_10,DERS_11,DERS_12,DERS_13,DERS_14,DERS_15,DERS_16,DERS_17,DERS_18,DERS_19,DERS_20,DERS_21,DERS_22,DERS_23,DERS_24,DERS_25,DERS_26,DERS_27,DERS_28,DERS_29,DERS_30,DERS_31,DERS_32,DERS_33,DERS_34,DERS_35,DERS_36,age#1_1,age#2_1,age#3_1,gender,gender_5_TEXT,s_orientation,s_orientation_6_TEXT,relationship,race,home,home_3_TEXT,home_who,home_who_9_TEXT,dependent,first_gen,income,id
3/5/22 15:52,3/5/22 17:22,0,100,5379,1,3/5/22 17:22,R_2dutyZCSWZ7tvxY,anonymous,EN,I was being blame for something that was not my responsibility ,"I was feeling so anxious, sad and a lot of anger ",they support by talking it out with me even they were some words that shouldn't have been said but it was there. ,1,9999,my boyfriend,2,1,1,3,9,4,5,2,4,5,1,7,3,5,2,3,3,2,2,2,2,8,2,2,8,2,2,9,7,3,3,3,4,3,5,7,4,6,3,6,6,5,6,6,7,6,6,6,6,5,3,6,6,6,6,7,2,3,2,3,5,4,2,4,4,4,5,4,4,4,4,4,5,4,2,4,4,4,4,3,5,5,3,7,6,6,4,6,1,4,5,6,2,3,4,4,4,4,4,4,4,1,4,4,4,4,5,5,3,4,3,3,4,1,2,2,4,4,2,4,5,2,3,5,5,5,5,5,5,2,5,2,4,2,5,4,5,5,5,5,3,5,5,5,4,5,5,9,103,2,9999,1,9999,2,3,2,9999,5,9999,2,1,8,57968
3/5/22 18:03,3/5/22 18:18,0,100,947,1,3/5/22 18:18,R_3esfAHcZDBieBaW,anonymous,EN,I was upset because I thought my actions were being questioned by the people I care about and I felt like I didn't get a chance to defend myself. It was mainly about my decisions that I was going to make in college and my major. ,I was mainly feeling anger and resentment.,"Though ironically, my parents were the ones who I was actually made at, I was able to formally release my emotions. I am usually a calm person, so I typically don't get mad. But letting my anger out that time felt very refreshing. They just let me yell and although I felt bad after wards, it helped me managed my emotion.",2,9999,my sister,1,2,4,5,5,6,5,5,3,6,6,5,4,5,5,4,4,5,5,4,4,6,5,6,5,4,5,5,5,5,5,5,4,5,4,4,4,5,4,4,3,4,4,4,4,5,2,4,4,4,3,4,3,4,4,3,3,4,4,3,3,3,2,3,3,3,2,3,3,3,2,3,2,4,2,3,2,3,3,3,3,3,3,5,5,5,3,4,3,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,2,3,3,2,3,2,1,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,10,17,104,1,9999,1,9999,1,1,1,9999,"1,2,4,9",grandma,2,2,7,57357
3/5/22 18:02,3/5/22 18:32,0,100,1794,1,3/5/22 18:32,R_6Wk37NfwLmu62Mp,anonymous,EN,"I was 17, and got cheated on and dumped by the first girl I ever had ""serious"" feelings towards. It was the first time in my life, that I ever let someone get so close to me, and see me in a multiple vulnerable situations. Never having to deal with something like that, when she confessed to me she had been with someone else and for us to end the relation ship. It was similar to throwing a baby into an ocean and telling it to swim to shore. ","My initial response was emotionless. The days, weeks, and months that followed were a mixture of anxiety, anger, paranoia, and depression.","My Dad would talk me through those rough nights. The roughest nights, are the nights where I would be wondering if she was with someone else that night. Was she going through pain like I was or was her life just fine. It was nights of jealousy and paranoia, but my dad would remind me that the only person that is getting hurt by jealousy, paranoia, and all those other emotions that have no immediate ground in reality, is the person that is thinking them. ",2,9999,"No one really, ",1,1,9,9,1,6,9,9,1,9,9,1,9,7,4,8,7,8,4,1,6,6,6,7,1,7,7,1,8,9,7,5,5,5,5,5,3,6,2,3,4,5,5,2,3,2,2,1,3,3,3,3,4,2,2,3,3,1,1,5,1,3,1,5,2,5,2,4,1,5,5,4,5,5,1,5,4,5,2,5,1,5,1,7,7,7,3,5,5,6,5,2,5,4,5,4,2,3,1,5,1,2,1,5,1,5,5,1,2,1,4,4,3,2,3,2,3,3,4,2,2,3,5,2,1,2,2,5,4,1,2,4,4,2,2,5,4,1,2,1,1,1,5,4,2,3,9,3,98,1,9999,1,9999,2,3,1,9999,"1,2,3",9999,2,1,7,58085
3/5/22 18:15,3/5/22 18:37,0,100,1294,1,3/5/22 18:37,R_2WMEBDxAsWziPLt,anonymous,EN,I had gotten a rejection letter from the universities I applied to.,Sad and scared for the future.,"I told my mom about another rejection letter and began to cry. She told me that no matter the school, I can do my best and put a lot of effort into creating opportunities for myself to succeed at a school I get accepted into and make a strong path to a good future. ""If you put your heart to it, you can do anything.""",1,9999,Father,1,1,6,7,5,7,9,6,3,5,8,3,8,8,8,8,7,8,7,3,8,2,7,8,4,7,7,2,9,9,7,7,7,7,7,6,6,2,6,3,4,6,6,6,3,2,2,4,7,2,6,2,3,4,2,2,2,5,5,4,3,3,3,3,3,3,3,4,3,3,5,3,3,3,3,2,3,3,3,4,2,3,5,6,5,6,2,6,2,5,5,2,5,5,5,5,5,4,3,2,2,1,2,2,2,4,2,2,2,1,2,2,4,4,4,2,3,2,3,2,4,2,5,4,3,4,2,4,3,3,3,3,3,2,2,4,3,3,3,3,2,3,2,2,2,4,10,13,104,2,9999,1,9999,1,1,2,9999,6,9999,1,2,4,56008
3/5/22 18:35,3/5/22 18:59,0,100,1401,1,3/5/22 18:59,R_3qCZpARA3dPbq00,anonymous,EN,I was upset because I had hours of work to complete and was afraid I would not get it done on time and that I would not get passing grades for my classes. ,"I was anxious and scared because I needed to turn in those assignments since they were very important to my overall course grades. I was scared that if I didn't pass that I would fail, I set this image of myself that I need to be perfect and get good grades and go to a nice college. I don't want to make it look like I struggle and that I need help, especially in front of my parents. I was angry at myself as well, for not being able to get the work done fast enough or to remember as much as I want to for tests and exams. I was angry that no matter how hard I try, I will never be as good as the other students in my classes. ","My mom was on the phone with me and I told her how much work I had that week and practically listed it all off to her. The thing that my mom said that helped me was honestly her saying how difficult it sounds to have all that work and how she would never have been able to do it, she also said to remember to take breaks. I think it was the idea that somebody saw I was struggling and recognized that I needed something to remind me how hard I'm working. There have been many cases with friends and family where I feel ignored and feel like most people don't see how hard it is keep up with everyone's needs and wants, yet I still try to make it seem like it's all easy. ",1,9999,"No one else, just me and her on the phone. ",2,2,3,7,1,6,8,8,1,7,4,1,6,7,9,8,5,1,6,1,5,3,1,7,1,1,7,1,5,6,5,5,6,5,4,5,4,5,3,4,5,4,5,5,5,4,4,3,5,4,3,3,3,6,4,5,4,5,4,3,4,2,3,2,4,2,3,4,2,2,3,3,4,4,3,3,4,3,4,3,3,2,5,5,4,6,2,5,3,4,5,4,3,4,2,4,4,3,1,2,3,2,1,2,3,4,2,4,3,1,2,3,2,5,4,2,1,2,4,2,4,4,5,2,4,3,1,4,2,4,5,2,5,1,4,4,3,3,4,4,2,2,3,1,3,4,3,27,104,2,9999,2,9999,1,5,1,9999,6,9999,2,2,8,58461
3/5/22 21:57,3/5/22 22:11,0,100,831,1,3/5/22 22:11,R_1Q9m338JaCdJQQm,anonymous,EN,i feared that i was not going to graduate on time,anxious,"My mother used postive reinforcement to help me manage my emotions. She told me everything was going to be alright, she helped me map out my college journey and told me there was no issue even if i needed to stay an extra year.",1,9999,no one else,1,1,9,9,1,9,9,9,1,9,9,1,9,9,4,9,9,6,9,1,9,1,9,9,1,9,9,1,5,9,7,6,7,7,7,7,5,1,5,3,1,7,7,5,1,6,1,5,6,1,6,1,1,7,4,1,5,4,7,4,3,5,2,5,1,5,1,5,1,5,2,4,1,5,1,5,1,4,3,5,1,5,2,7,7,7,1,5,1,7,7,1,4,2,3,2,4,4,4,5,1,1,4,5,4,3,5,5,1,1,4,4,1,1,1,5,5,5,1,5,1,1,2,2,1,1,5,2,1,4,1,4,1,3,1,2,2,1,1,1,1,2,2,3,2,2,7,3,102,2,9999,1,9999,2,2,2,9999,6,9999,1,1,1,57771
3/3/22 19:53,3/6/22 0:20,0,100,188842,1,3/6/22 0:20,R_31juXpSqpWhYM5h,anonymous,EN,I got pulled over for speeding.,"I was really angry and upset, angry because the road was empty, and upset because I knew I would have to face my parents when I got home. Also because the amount of time I saved by speeding was all thrown away and actually it took longer because the police officer took his time to write me a ticket","When I told my parent they didn't get mad, they told me to be careful next time and to just slow down.",2,9999,No one,1,1,7,7,2,7,7,7,4,7,7,4,7,7,4,6,7,7,7,3,7,2,7,5,7,6,5,5,4,6,5,4,5,6,4,4,3,1,1,1,2,3,4,4,2,4,1,3,4,2,2,2,2,6,2,1,2,6,3,4,3,3,3,5,1,3,3,4,4,5,2,2,2,2,4,5,1,2,3,3,5,5,1,4,3,4,2,3,6,3,2,2,2,2,2,2,2,2,2,2,1,5,3,4,2,1,2,1,3,4,2,3,2,2,3,3,1,1,3,2,1,2,4,3,1,1,2,3,4,2,1,3,4,2,1,4,4,2,3,1,4,4,4,2,1,5,9,4,101,1,9999,1,9999,1,"1,8",1,9999,"1,2,4",9999,1,2,3,57837
3/6/22 3:49,3/6/22 3:56,0,100,424,1,3/6/22 3:56,R_24tI5l2Hdw4prXM,anonymous,EN,They didn’t understand me ,Hurt ,Give me their opinion ,1,9999,Brother ,1,1,4,4,3,3,3,4,1,4,5,1,5,2,1,3,2,2,2,2,2,2,2,3,3,3,4,3,2,2,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,14,104,2,9999,1,9999,2,8,2,9999,6,9999,2,1,4,57549
3/6/22 9:46,3/6/22 10:15,0,100,1714,1,3/6/22 10:15,R_3fp0WUAKTORxNfX,anonymous,EN,I was upset because of my work schedule and other things going on in my job as well as I was feeling stressed from school.,"Angry, annoyed ",They tell me to relax and to take a breather before doing anything drastic,1,9999,No one ,1,2,3,5,7,3,4,5,7,4,6,4,5,2,5,3,4,3,1,2,5,3,6,1,9,5,2,8,4,3,4,4,4,4,4,3,4,7,2,5,7,4,4,3,5,6,4,1,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,1,3,2,4,1,4,2,3,2,4,2,1,4,2,2,4,3,2,4,2,3,2,5,2,4,2,6,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,2,2,4,2,4,3,3,2,4,2,4,2,4,2,4,2,4,2,3,3,4,2,2,2,4,2,4,2,5,2,5,2,4,4,2,104,2,9999,1,9999,2,3,1,9999,"1,4",9999,1,1,3,57418
3/6/22 15:11,3/6/22 15:27,0,100,984,1,3/6/22 15:27,R_3qVFU6hRuK8qIyp,anonymous,EN,I was feeling upset about the grade I received on my math midterm.,I was feeling pretty sad and a little angry at myself for getting the grade that I got.,"My parent comforted me by telling me that what happened is now in the past, so there is no use in stressing over it right now. They also told me that they weren't angry with me.",1,9999,brother,3,2,7,8,3,6,7,7,1,7,6,1,8,3,5,7,4,5,5,3,3,3,6,6,5,5,6,6,6,6,5,5,4,5,5,4,4,5,3,4,2,5,4,4,4,6,3,3,5,2,5,5,2,5,2,1,3,4,3,3,4,5,3,3,3,3,3,4,2,4,3,3,3,5,1,4,4,4,3,5,1,4,3,6,6,6,2,5,1,6,7,2,4,4,4,4,4,4,4,4,4,2,2,4,3,3,3,3,3,2,3,4,2,2,2,3,3,4,3,3,3,3,3,1,2,2,4,4,3,4,3,3,4,3,3,3,2,2,3,4,2,1,2,3,3,4,2,27,104,2,9999,1,9999,6,1,2,9999,6,9999,1,2,8,57844
3/6/22 17:03,3/6/22 17:28,0,100,1488,1,3/6/22 17:28,R_3QDcabQQunhPsYL,anonymous,EN,No one remembered to include me in the organization of a trip.,Sad and angry,They apologized,1,9999,Father,1,2,1,1,3,1,1,4,1,3,6,7,2,7,5,5,1,4,4,1,1,1,1,7,1,5,3,5,5,2,1,3,4,4,4,7,3,1,4,1,3,4,7,7,1,6,4,3,5,1,3,3,1,7,1,3,1,5,5,5,1,2,3,3,3,5,1,5,4,5,4,5,1,3,3,4,3,4,2,4,2,3,3,7,5,4,1,7,1,5,1,1,5,5,4,2,5,2,1,2,2,2,2,2,4,3,3,4,2,2,1,2,1,2,1,1,5,1,1,4,3,5,1,1,1,1,1,1,1,5,4,2,4,5,1,1,1,1,2,2,1,1,1,1,2,1,3,18,103,1,9999,1,9999,1,3,2,9999,6,9999,1,1,4,58484
3/6/22 17:41,3/6/22 18:08,0,100,1580,1,3/6/22 18:08,R_3EGpgMO10sIghKI,anonymous,EN,"I was upset because I failed my chemistry exam, and I felt like I shouldn't have. I told my mom that I studied so much, and that I wanted to change my major after I bombed it. ","Sad, crying, very worthless.","My mom comforted me and even ordered uber eats food for me as a comfort food. She told me that ""don't worry I've failed my exams too before"" and that I should follow what I want to do.",1,9999,No one,3,1,7,8,1,8,7,9,7,6,8,1,8,7,9,9,7,8,9,1,7,8,8,8,1,9,8,2,9,9,6,6,6,6,5,6,5,6,5,2,3,6,6,2,6,6,2,6,6,2,6,6,2,6,2,1,2,5,6,4,2,4,2,4,2,4,2,4,1,4,3,5,2,5,2,4,2,4,2,4,4,3,4,6,6,7,2,7,2,6,6,2,4,3,4,4,4,4,4,4,2,4,3,3,3,1,4,4,4,3,4,3,4,4,3,2,4,4,3,5,4,4,2,4,4,3,4,4,2,2,2,4,4,2,4,4,2,4,4,4,2,4,3,4,2,4,1,7,104,2,9999,1,9999,1,1,2,9999,6,9999,1,2,6,57843
3/6/22 17:59,3/6/22 18:20,0,100,1245,1,3/6/22 18:20,R_1pyS6ryALh1m3mW,anonymous,EN,I have failed my math class in the first quarter.,"Angry, Anxious, Embarrassed",She said there is nothing I can do about it now and it is not a big deal to retake a class. She said it is okay.,1,9999,It was just my mother.,1,2,4,6,3,6,7,6,1,8,6,2,6,4,6,7,6,6,6,1,8,2,6,5,4,6,5,7,7,7,5,5,5,5,5,5,5,3,5,3,3,4,5,5,3,5,2,4,4,3,3,4,2,3,2,2,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,4,4,5,4,4,3,4,5,4,4,5,5,3,4,4,3,3,5,3,2,4,4,3,4,4,4,3,3,4,3,4,3,3,3,4,2,3,3,4,4,2,2,2,2,4,3,2,3,4,4,4,3,4,2,3,3,3,4,2,3,4,3,4,12,3,103,1,9999,1,9999,1,1,1,9999,"1,2",9999,1,2,8,58445
3/6/22 18:38,3/6/22 18:52,0,100,810,1,3/6/22 18:52,R_ALm4KHfyBlXy0hj,anonymous,EN,"I had failed a midterm that I had studied countless hours for,",I was angry and sad. ,"They told me that it was just one midterm and even though I did bad, I could still make up for it with the final.",1,9999,Father,1,2,3,4,3,6,3,3,1,3,5,2,4,5,3,5,6,1,4,1,6,1,5,4,3,1,5,1,1,6,3,4,4,3,4,6,4,2,6,4,3,5,6,7,3,4,2,4,5,3,3,2,2,5,2,2,3,2,2,4,4,4,1,4,2,4,2,4,2,4,2,4,2,4,1,4,3,4,3,4,2,4,1,5,5,7,1,4,4,5,4,4,2,2,4,3,3,3,4,4,2,3,2,2,2,2,3,4,3,3,2,2,1,5,5,2,1,1,4,1,4,3,4,1,3,4,2,4,2,2,3,2,4,4,2,3,2,2,4,4,2,1,3,2,2,2,9,28,103,1,9999,1,9999,2,3,2,9999,6,9999,1,2,8,57299
3/6/22 19:26,3/6/22 20:02,0,100,2139,1,3/6/22 20:02,R_3Mtie9L8N2DCXg2,anonymous,EN,I was upset because I was moving away from home for the first time. ,I was feeling very anxious and sad. ,My parent helped me remember why I was doing what I'm doing. She also reminded me to pray. ,1,9999,My dad. ,2,1,5,7,5,9,5,4,7,6,8,8,6,5,3,4,4,3,4,4,3,5,5,2,7,2,4,8,5,5,4,4,5,5,3,3,3,4,3,4,5,3,2,4,6,7,6,2,4,5,4,5,5,4,5,5,5,4,2,3,5,3,3,2,3,3,2,3,3,2,4,3,2,3,2,4,4,3,4,3,2,2,3,5,5,6,4,4,5,4,4,5,4,5,3,4,4,5,2,2,4,3,1,3,2,3,4,5,5,4,4,4,5,4,4,3,3,3,3,2,4,4,5,4,5,4,2,5,4,2,3,1,5,3,4,5,4,4,5,5,5,4,5,3,5,5,2,18,104,2,9999,1,9999,1,6,2,9999,6,9999,1,1,1,57903
3/6/22 23:45,3/7/22 0:08,0,100,1390,1,3/7/22 0:08,R_1CDOS6LJSOgeghC,anonymous,EN,"For starters, my mom and I are not that close even though we live together, so she doesn't give much emotional support. This is answering the ""trying to change your emotions"" more so than tring to give support. 

I was upset because while I was driving and running errands with her, she kept nitpicking things I was doing that seem trivial to me, like choosing not to get bags for groceries, and braking too hard on the freeway during a sudden traffic jam. She raised her voice and went on and on about how what I did was stupid and I got really frustrated and snapped at her, raising my own voice defending my decisions and actions.","Angry, frustrated","She basically used the guilt trip card to make me feel bad for her by saying how much she works to pay the bills and keep a roof above my head, and how she has raised me all these years and now I'm disrepecting her by raising my voice at her. Even though I feel like I kind of raised myself, emotionally. Then she said how miserable she was to have me as a daughter and said I need to do what she says to make her happy, because she's my mom and blind obedience is the only way to make her happy I  guess. 

This only made me more frustrated. (I'm sorry if my answers dont really apply to the question, I can't remember the last time she has given me any support for anything.)",1,9999,Nobody,1,2,1,3,9,8,3,1,1,1,1,9,1,1,1,1,1,1,1,9,1,7,1,2,9,1,1,7,1,2,1,2,1,4,2,2,1,4,1,5,7,1,3,3,6,6,6,2,1,6,1,7,7,1,7,7,7,1,1,3,4,4,3,4,3,3,4,4,3,4,4,3,4,4,3,4,5,3,4,4,3,4,3,1,5,3,5,2,7,3,1,7,4,4,5,4,4,3,2,4,5,3,2,3,1,4,3,1,5,1,3,3,3,1,2,2,2,2,1,2,5,3,4,3,2,3,2,3,2,2,5,2,5,3,5,2,2,2,5,5,4,2,3,1,2,2,12,10,102,2,9999,1,9999,2,1,1,9999,"1,2",9999,1,1,3,55143
3/7/22 2:58,3/7/22 3:06,0,100,472,1,3/7/22 3:06,R_3P75QZVZdJ1HZyD,anonymous,EN,parent did not understand why i could not do something,angry,left me to think alone for a bit before discussing how they felt and asking how i felt,1,9999,no one,1,2,5,6,4,6,5,5,3,6,6,3,7,6,5,6,6,7,6,3,6,3,6,6,2,6,6,2,6,7,6,5,6,5,5,6,6,2,6,2,2,6,6,5,2,5,2,5,6,2,5,5,2,5,2,2,2,6,5,4,3,3,4,2,4,3,3,3,3,3,4,3,3,3,3,2,3,2,3,3,3,2,4,5,5,7,2,6,1,6,6,2,3,4,2,5,4,5,2,2,5,2,1,2,2,2,1,2,4,2,1,2,4,5,5,3,2,3,5,3,5,4,4,4,3,3,1,4,4,1,5,1,2,1,4,5,4,3,4,5,3,4,3,3,4,4,10,28,103,2,9999,1,9999,2,1,1,9999,6,9999,1,2,8,52484
3/7/22 9:12,3/7/22 9:25,0,100,755,1,3/7/22 9:25,R_2xF9Rb1SAW2REWG,anonymous,EN,I was being pushed to answer a question that I did not want to answer,Frustrated ,She told me to just answer and it is not that big of a deal.,1,9999,Step-Dad,1,1,4,6,9,9,5,4,7,1,8,8,4,3,4,5,3,3,3,7,4,4,3,2,8,4,3,9,3,3,2,2,3,3,3,4,3,6,2,4,6,4,5,5,4,5,6,4,4,6,3,4,3,3,6,6,5,4,2,4,4,4,2,4,3,2,4,4,4,2,3,4,2,3,2,3,4,2,4,4,2,4,4,4,4,4,3,2,5,3,3,5,4,3,4,2,3,4,1,3,3,2,1,1,3,2,4,4,3,2,2,1,4,2,3,1,1,1,2,1,4,5,3,3,2,4,1,3,4,3,5,2,4,4,5,4,2,4,5,4,3,2,4,4,3,5,9,8,104,2,9999,1,9999,2,3,2,9999,6,9999,1,1,5,58422
3/7/22 9:44,3/7/22 10:04,0,100,1197,1,3/7/22 10:04,R_3m8fCoBTXytsO9E,anonymous,EN,My senior year of high school was rough. I was upset because I was told by my counsler that I wouldn't be able to graduate. ,"I felt very nervous, anxious, and completely distressed. ","After the talk with my counsler, I asked my dad to come home so we could talk. I was very emotional and communicated my concerns. I informed my dad about how I was feeling and how I was struggling with my mental health. I remember I asked my dad for a hug and he grabbed me immediately. I didn't remember the last time me and my dad hugged. While he held me he let me cry and reassured me that everything was and will be okay. His reassurance that he was not disappointed in me but frustrated that I didn't express my struggles earlier. ",2,9999,my counsler ,1,1,7,7,1,9,9,9,1,9,7,1,9,9,8,8,8,9,9,1,8,4,9,9,3,6,8,1,7,8,7,6,6,5,5,5,2,2,3,4,5,2,4,3,2,6,3,1,1,2,2,6,3,2,2,3,6,3,2,3,4,4,2,4,3,4,4,4,2,2,2,4,3,4,1,3,2,3,4,3,3,3,4,3,3,4,5,5,4,4,2,5,3,4,4,2,3,4,1,3,2,2,1,3,3,3,3,3,1,2,3,4,2,1,1,5,4,4,3,4,1,2,3,1,1,1,4,2,2,4,1,3,1,4,1,2,2,1,2,2,1,2,2,3,1,2,2,27,104,2,9999,1,9999,2,6,1,9999,"1,2",9999,1,2,7,58485
3/7/22 12:18,3/7/22 12:36,0,100,1041,1,3/7/22 12:36,R_1QEC6BlaTApqCpd,anonymous,EN,It was most likely an argument I had in the family.,Upset,"To be honest, my parents usually never help with emotionally, I usually have to solve my own emotions by myself.",2,9999,Mother,1,2,1,4,9,5,5,5,1,4,1,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,4,4,4,4,4,5,4,4,4,5,4,6,6,6,5,6,4,2,2,5,2,7,2,4,5,5,6,2,2,4,4,4,2,4,4,5,4,4,2,3,3,3,2,3,3,4,3,3,3,3,2,4,3,5,5,5,3,5,4,4,5,5,4,4,4,2,4,2,3,3,4,2,1,5,4,3,3,2,3,2,4,4,5,3,4,4,3,3,4,4,4,3,3,3,3,3,4,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,11,27,103,2,9999,1,9999,1,1,2,9999,6,9999,2,1,3,53241
3/7/22 12:25,3/7/22 12:48,0,100,1396,1,3/7/22 12:48,R_11iRGSaaTv8VI1B,anonymous,EN,I was upset since my roommates weren't very good with things that are required when living away from the comfort of their homes.,I felt frustrated.,"For the most part, they were very understanding considering that they also had the same idea of what are required to be done when living by yourself and with others. They even gave examples of how they deal with similar examples. However, for the most part, I was dealing with my own problem by looking at it through my roommates' perspectives.",3,"It was initially from my mom, but then my dad joined us later on. ",My sister and brother were present during this moment.,1,1,4,8,2,8,7,7,2,6,8,1,6,3,9,5,8,7,8,1,8,2,6,8,3,1,6,2,7,4,4,6,5,5,5,6,3,1,4,3,5,6,7,5,2,1,4,3,5,6,3,2,1,4,1,6,3,2,4,4,4,3,4,4,3,4,2,4,2,4,3,4,2,3,3,4,3,4,2,3,4,4,3,5,7,6,2,7,1,5,6,4,4,4,4,4,4,5,3,4,3,4,3,5,4,2,5,5,3,2,3,5,5,3,3,4,3,5,3,2,4,1,3,2,2,4,2,4,3,4,2,4,4,2,3,4,4,4,4,1,3,3,4,2,3,4,12,19,102,2,9999,6,Questioning,1,1,2,9999,6,9999,1,1,8,56756
3/7/22 12:52,3/7/22 13:11,0,100,1156,1,3/7/22 13:11,R_1op7PY8JzsZKshd,anonymous,EN,"I was upset because my father kept his promise when he said he was going to make it up to my brother for not being there on his birthday. He said the same to me, but he did not keep his promise at all.",I was feeling sad and angry.,"My mother did not believe me, but she explained to me why this might've happened. She told me that he works on the road and he has to bring some sort of income home. That he probably forgot since he is also becoming older, now hitting 61. ",1,9999,No one.,1,2,7,6,2,7,6,8,1,9,6,1,6,5,5,8,5,8,7,1,6,3,8,8,7,8,8,3,7,7,5,4,6,5,5,6,4,1,5,3,5,3,5,6,3,5,2,2,6,1,4,6,5,4,1,3,4,4,5,4,4,3,4,3,5,4,2,4,2,4,5,4,2,4,3,4,4,4,5,5,4,3,4,4,3,6,5,5,5,4,4,6,4,5,3,4,4,4,2,2,2,3,1,2,4,3,4,2,2,2,3,3,4,4,4,2,3,2,4,3,4,4,5,2,2,4,2,4,1,2,4,3,5,3,4,4,2,2,4,4,4,2,4,2,3,4,10,29,101,2,9999,2,9999,2,3,3,"Sometimes with parents, sometimes on campus","1,2,3,7",9999,1,2,5,58196
3/7/22 13:24,3/7/22 13:47,0,100,1346,1,3/7/22 13:47,R_3ktSxOEeBrODmou,anonymous,EN,"I have been playing tennis for roughly 10 years and going now, I regularly practice and for a time I even played in tournaments infrequently. At my latest tournament I played in, it was my first tournament in over a year and I had just began playing and practicing again after a week or so of not playing. I lost pretty badly against my opponent in the first round, I played terribly and felt like I had never played so bad before. I was incredibly frustrated and mad over my loss because I felt like I completely lost the way I typically play tennis.",I was frustrated and agitated most of all. I was only a little sad but the emotions of anger and frustration completely overshadowed it.,"Typically, on the way home from a tournament, about 10 minutes into the drive, my dad would begin speaking to me, asking me questions such as, ""How do you feel"", ""What do you think happened during that match"" and so on. At this point I'm calm but still deeply angry or frustrated as any normal person would be. My dad doesn't necessarily try to make me feel better after a match, he doesn't say things like ""You played really good"", or ""You did your best"". But this is because he knows that him saying such things won't make me feel better one bit, because I don't like getting praise after I lose, especially if I know I played bad. Instead, my dad searches for the reasons I lost, relays them to me, and tells me some things I can do better or things I need to work on. ",2,9999,No one,1,2,7,9,1,9,7,7,1,8,6,2,2,7,3,8,7,5,7,1,5,3,6,7,7,2,7,1,7,5,5,4,5,6,4,7,5,4,6,1,1,6,5,6,3,2,1,5,5,3,5,2,1,5,2,1,2,5,5,4,2,5,3,3,3,3,2,5,1,3,3,4,4,5,1,4,2,4,3,5,1,4,2,5,6,7,2,6,2,5,5,2,4,5,3,3,4,4,2,2,4,3,2,5,2,3,4,2,4,3,1,4,3,1,2,4,4,4,2,4,4,2,3,3,4,2,4,3,3,3,1,3,2,3,2,4,3,2,2,2,2,3,3,2,3,4,7,7,104,1,9999,1,9999,1,5,1,9999,"1,2,4",9999,1,2,1,56704
